Rk,Player,Nation,Pos,Squad,League,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKmiss,PK Save%,FK GA,CK GA,OG GA,PSxG,PSxG/SoT,PSxG+/-,PSxG+/-p90,Launched Pass Cmp,Launched Pass Att,Launched Pass Cmp%,GK Throws,Launched Pass%,AvgLen Launched,Att Goal Kicks,Launch Goal Kicks%,AvgLen Goal Kicks,Crosses faced,Crosses stopped,Crosses Stp%,OPA Actions,OPA p90,OPA AvgDist,Cmp Passes,Att Passes,Total Pass Cmp%,TotDist,PrgDist,Cmp Short Passes,Att Short Passes,Cmp Short Passes%,Cmp Med Passes,Att Med Passes,Cmp Med Passes%,Cmp Long Passes,Att Long Passes,Cmp Long Passes%,Ast,xAG,xA,A-xAG,KP,Passes into Final third,PPA,CrsPA,PrgP
145,Daniel Peretz,il ISR,GK,Bayern Munich,G. Bundesliga,24-319,2000,3,3,270,3,5,1.67,7,2,28.6,2,0,1,0,0,0,0,0,0,,0,0,0,4,0.58,-1,-0.32,5,25,20,5,25,29.5,7,14.3,29.6,17,0,0,8,2.67,21.2,79,103,76.7,1811,1173,14,14,100,49,49,100,16,40,40,0,0,0,0,0,0,0,0,1
146,Jonas Omlin,ch SUI,GK,Gladbach,G. Bundesliga,31-135,1994,12,11,978,10.9,26,2.39,72,45,66.7,2,1,8,1,9.1,3,2,1,0,33.3,1,6,0,23.8,0.31,-2.2,-0.2,68,190,35.8,46,34.9,32.7,57,56.1,44.2,166,3,1.8,13,1.2,15.1,375,513,73.1,10253,6569,46,47,97.9,209,209,100,119,253,47,0,0,0,0,0,1,0,0,0
147,Alexander Nübel,de GER,GK,Stuttgart,G. Bundesliga,28-237,1996,34,34,"3,060",34,53,1.56,136,83,62.5,14,8,12,7,20.6,3,2,1,0,33.3,1,7,1,44.8,0.32,-7.2,-0.21,157,410,38.3,137,30.1,30.7,122,44.3,39.5,415,21,5.1,57,1.68,17.6,1009,1311,77,25508,19120,258,261,98.9,475,484,98.1,273,555,49.2,1,0.3,0.2,0.7,3,15,1,0,0
148,Moritz Nicolas,de GER,GK,Gladbach,G. Bundesliga,27-216,1997,19,19,"1,639",18.2,25,1.37,92,69,78.3,9,4,6,4,21.1,5,5,0,0,0,0,1,2,29.9,0.29,6.9,0.38,95,199,47.7,88,23.3,28.2,60,46.7,39.8,319,18,5.6,14,0.77,12,669,794,84.3,16861,11154,135,135,100,365,371,98.4,169,287,58.9,0,0,0,0,0,4,0,0,0
149,Manuel Neuer,de GER,GK,Bayern Munich,G. Bundesliga,39-059,1986,22,22,"1,980",22,15,0.68,45,30,68.9,18,4,0,13,59.1,2,1,0,1,0,0,2,0,15,0.33,0,0,92,194,47.4,81,20,27.7,56,37.5,37.3,162,6,3.7,40,1.82,19.6,795,924,86,19865,13049,156,156,100,411,419,98.1,222,341,65.1,0,0.5,0.1,-0.5,1,22,0,0,10
150,Marius Müller,de GER,GK,Wolfsburg,G. Bundesliga,31-317,1993,6,5,475,5.3,5,0.95,23,18,78.3,2,3,0,1,20,0,0,0,0,,0,2,0,7.6,0.33,2.6,0.49,37,97,38.1,29,39.1,36.6,34,73.5,51.4,99,9,9.1,3,0.57,11.7,154,218,70.6,4852,3396,19,19,100,65,65,100,70,134,52.2,0,0,0,0,0,7,0,0,0
151,Kevin Müller,de GER,GK,Heidenheim,G. Bundesliga,34-071,1991,33,33,"2,939",32.7,64,1.96,169,105,65.7,7,5,21,7,21.2,6,6,0,0,0,0,7,0,59.3,0.33,-4.7,-0.14,152,428,35.5,153,31.4,33.8,271,38.4,38.3,453,21,4.6,20,0.61,12,987,1306,75.6,27796,17938,107,108,99.1,578,586,98.6,300,606,49.5,0,0,0.1,0,0,16,1,0,1
152,Florian Müller,de GER,GK,Freiburg,G. Bundesliga,27-193,1997,9,8,753,8.4,16,1.91,30,15,53.3,4,1,3,1,12.5,2,2,0,0,0,0,3,1,11.6,0.35,-3.4,-0.41,54,166,32.5,28,44.9,37.1,57,80.7,57.7,104,6,5.8,9,1.08,13.4,206,326,63.2,6261,5083,29,29,100,108,110,98.2,69,185,37.3,0,0,0,0,0,10,0,0,0
153,Alexander Meyer,de GER,GK,Dortmund,G. Bundesliga,34-042,1991,2,2,180,2,4,2,11,7,63.6,1,0,1,0,0,0,0,0,0,,0,0,0,4,0.36,0,0,8,33,24.2,3,35.5,34.8,7,85.7,63.6,24,1,4.2,2,1,14.8,54,83,65.1,1541,1064,7,7,100,28,29,96.6,19,47,40.4,0,0.1,0,-0.1,1,2,0,0,0
154,Nediljko Labrović,hr CRO,GK,Augsburg,G. Bundesliga,25-227,1999,15,15,"1,350",15,32,2.13,74,42,60.8,4,4,7,2,13.3,3,3,0,0,0,1,2,0,25.9,0.32,-6.1,-0.4,83,220,37.7,72,38.8,35.2,105,62.9,47.4,217,12,5.5,18,1.2,13.3,354,504,70.2,10392,7820,57,57,100,177,181,97.8,119,262,45.4,0,0,0.1,0,0,10,1,0,0
